  
[33m<<[Drone.ino] is running on Chip 536882409>>
Core 0|Freq 133.00[0m[33mMHz|Watchdog Reset
[0m[34m⠀     (\__/)
      (•ㅅ•)      Don't talk to
   ＿ノヽ ノ＼＿      me or my son
`/　`/ ⌒Ｙ⌒ Ｙ  ヽ     ever again.
( 　(三ヽ人　 /　  |
|　ﾉ⌒＼ ￣￣ヽ   ノ
 ヽ＿＿＿＞､＿_／
    ｜( 王 ﾉ〈   (\__/)
    /ﾐ`ー―彡\   (•ㅅ•)
   / ╰    ╯ \  /    \&gt;
[0m[33m"/?" for help
>ANGLE Z: 0.01
>ANGLE X: -0.13
>ANGLE Y: 0.03
>ANGLE Z: 0.01
>ANGLE X: -0.15
>ANGLE Y: 0.04
>ANGLE Z: 0.01
>ANGLE X: -0.17
>ANGLE Y: 0.07
>ANGLE Z: 0.01
>ANGLE X: -0.18
>ANGLE Y: 0.10
>ANGLE Z: 0.01
>ANGLE X: -0.16
>ANGLE Y: 0.13
>ANGLE Z: 0.01
>ANGLE X: -0.16
>ANGLE Y: 0.15
>ANGLE Z: 0.01
>ANGLE X: -0.17
>ANGLE Y: 0.15
>ANGLE Z: 0.01
>ANGLE X: -0.16
>ANGLE Y: 0.15
>ANGLE Z: 0.01
>ANGLE X: -0.16
>ANGLE Y: 0.15
>ANGLE Z: 0.01
>ANGLE X: -0.14
>ANGLE Y: 0.16
>ANGLE Z: 0.01
>ANGLE X: -0.12
>ANGLE Y: 0.16
>ANGLE Z: 0.01
>ANGLE X: -0.10
>ANGLE Y: 0.15
>ANGLE Z: 0.01
>ANGLE X: -0.09
>ANGLE Y: 0.14
>ANGLE Z: 0.01
>ANGLE X: -0.09
>ANGLE Y: 0.13
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: 0.13
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: 0.12
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: 0.11
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: 0.08
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: 0.05
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: 0.03
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: 0.00
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.03
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.05
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.09
>ANGLE Z: 0.01
>ANGLE X: -0.01
>ANGLE Y: -0.11
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.14
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.15
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.17
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.18
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.18
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.15
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.13
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.11
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.09
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.07
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.05
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: -0.03
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: -0.01
>ANGLE Z: 0.01
>ANGLE X: -0.09
>ANGLE Y: 0.02
>ANGLE Z: 0.01
>ANGLE X: -0.10
>ANGLE Y: 0.05
>ANGLE Z: 0.01
>ANGLE X: -0.10
>ANGLE Y: 0.07
>ANGLE Z: 0.01
>ANGLE X: -0.12
>ANGLE Y: 0.10
>ANGLE Z: 0.01
>ANGLE X: -0.13
>ANGLE Y: 0.12
>ANGLE Z: 0.01
>ANGLE X: -0.13
>ANGLE Y: 0.13
>ANGLE Z: 0.01
>ANGLE X: -0.14
>ANGLE Y: 0.16
>ANGLE Z: 0.01
>ANGLE X: -0.15
>ANGLE Y: 0.17
>ANGLE Z: 0.01
>ANGLE X: -0.15
>ANGLE Y: 0.18
>ANGLE Z: 0.01
>ANGLE X: -0.14
>ANGLE Y: 0.19
>ANGLE Z: 0.01
>ANGLE X: -0.14
>ANGLE Y: 0.19
>ANGLE Z: 0.01
>ANGLE X: -0.15
>ANGLE Y: 0.17
>ANGLE Z: 0.01
>ANGLE X: -0.15
>ANGLE Y: 0.16
>ANGLE Z: 0.01
>ANGLE X: -0.14
>ANGLE Y: 0.14
>ANGLE Z: 0.01
>ANGLE X: -0.13
>ANGLE Y: 0.11
>ANGLE Z: 0.01
>ANGLE X: -0.11
>ANGLE Y: 0.10
>ANGLE Z: 0.01
>ANGLE X: -0.09
>ANGLE Y: 0.07
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: 0.05
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: 0.02
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.03
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.07
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.10
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.14
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.16
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.17
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.18
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.20
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.22
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.22
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.24
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: -0.23
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: -0.21
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: -0.19
>ANGLE Z: 0.01
>ANGLE X: -0.09
>ANGLE Y: -0.16
>ANGLE Z: 0.01
>ANGLE X: -0.09
>ANGLE Y: -0.14
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: -0.12
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: -0.11
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: -0.08
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: -0.06
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: -0.03
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: 0.00
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: 0.02
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: 0.04
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: 0.06
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: 0.08
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: 0.11
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: 0.12
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: 0.11
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.09
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: 0.06
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: 0.03
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: 0.03
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: 0.01
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.00
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.03
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.06
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.09
>ANGLE Z: 0.01
>ANGLE X: -0.01
>ANGLE Y: -0.14
>ANGLE Z: 0.01
>ANGLE X: -0.01
>ANGLE Y: -0.16
>ANGLE Z: 0.01
>ANGLE X: 0.00
>ANGLE Y: -0.19
>ANGLE Z: 0.01
>ANGLE X: 0.01
>ANGLE Y: -0.21
>ANGLE Z: 0.01
>ANGLE X: 0.02
>ANGLE Y: -0.23
>ANGLE Z: 0.01
>ANGLE X: 0.04
>ANGLE Y: -0.25
>ANGLE Z: 0.01
>ANGLE X: 0.04
>ANGLE Y: -0.25
>ANGLE Z: 0.01
>ANGLE X: 0.02
>ANGLE Y: -0.25
>ANGLE Z: 0.01
>ANGLE X: 0.02
>ANGLE Y: -0.25
>ANGLE Z: 0.01
>ANGLE X: 0.03
>ANGLE Y: -0.25
>ANGLE Z: 0.01
>ANGLE X: 0.03
>ANGLE Y: -0.26
>ANGLE Z: 0.01
>ANGLE X: 0.03
>ANGLE Y: -0.24
>ANGLE Z: 0.01
>ANGLE X: 0.02
>ANGLE Y: -0.21
>ANGLE Z: 0.01
>ANGLE X: 0.02
>ANGLE Y: -0.19
>ANGLE Z: 0.01
>ANGLE X: -0.01
>ANGLE Y: -0.17
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.15
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.13
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.12
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.09
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.07
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.05
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: -0.02
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: 0.01
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: 0.05
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.07
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.09
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.10
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.10
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: 0.09
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.09
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.07
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.06
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.05
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.03
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.02
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.01
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.03
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.06
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.09
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: -0.13
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.17
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.19
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.23
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.24
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.25
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.25
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.25
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.24
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.22
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.20
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.18
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.16
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.14
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.13
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.11
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.08
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.06
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: -0.02
>ANGLE Z: 0.01
>ANGLE X: -0.09
>ANGLE Y: 0.03
>ANGLE Z: 0.01
>ANGLE X: -0.10
>ANGLE Y: 0.04
>ANGLE Z: 0.01
>ANGLE X: -0.11
>ANGLE Y: 0.06
>ANGLE Z: 0.01
>ANGLE X: -0.11
>ANGLE Y: 0.06
>ANGLE Z: 0.01
>ANGLE X: -0.10
>ANGLE Y: 0.06
>ANGLE Z: 0.01
>ANGLE X: -0.09
>ANGLE Y: 0.06
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: 0.07
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: 0.07
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.07
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.06
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: 0.05
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: 0.02
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: 0.01
>ANGLE Z: 0.01
>ANGLE X: -0.01
>ANGLE Y: -0.02
>ANGLE Z: 0.01
>ANGLE X: -0.01
>ANGLE Y: -0.04
>ANGLE Z: 0.01
>ANGLE X: 0.01
>ANGLE Y: -0.06
>ANGLE Z: 0.01
>ANGLE X: 0.03
>ANGLE Y: -0.11
>ANGLE Z: 0.01
>ANGLE X: 0.03
>ANGLE Y: -0.13
>ANGLE Z: 0.01
>ANGLE X: 0.03
>ANGLE Y: -0.16
>ANGLE Z: 0.01
>ANGLE X: 0.04
>ANGLE Y: -0.21
>ANGLE Z: 0.01
>ANGLE X: 0.03
>ANGLE Y: -0.23
>ANGLE Z: 0.01
>ANGLE X: 0.04
>ANGLE Y: -0.25
>ANGLE Z: 0.01
>ANGLE X: 0.03
>ANGLE Y: -0.28
>ANGLE Z: 0.01
>ANGLE X: 0.03
>ANGLE Y: -0.29
>ANGLE Z: 0.01
>ANGLE X: 0.02
>ANGLE Y: -0.29
>ANGLE Z: 0.01
>ANGLE X: -0.01
>ANGLE Y: -0.29
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.29
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.28
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.25
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.23
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.20
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.16
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.14
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.11
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.09
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.07
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.04
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: -0.01
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: 0.02
>ANGLE Z: 0.01
>ANGLE X: -0.09
>ANGLE Y: 0.05
>ANGLE Z: 0.01
>ANGLE X: -0.10
>ANGLE Y: 0.07
>ANGLE Z: 0.01
>ANGLE X: -0.11
>ANGLE Y: 0.09
>ANGLE Z: 0.01
>ANGLE X: -0.12
>ANGLE Y: 0.10
>ANGLE Z: 0.01
>ANGLE X: -0.11
>ANGLE Y: 0.09
>ANGLE Z: 0.01
>ANGLE X: -0.10
>ANGLE Y: 0.08
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: 0.07
>ANGLE Z: 0.01
>ANGLE X: -0.09
>ANGLE Y: 0.06
>ANGLE Z: 0.01
>ANGLE X: -0.10
>ANGLE Y: 0.06
>ANGLE Z: 0.01
>ANGLE X: -0.09
>ANGLE Y: 0.05
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: 0.02
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.01
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.02
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.04
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.05
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.08
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.11
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.12
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.14
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.15
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.17
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.19
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.20
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.21
>ANGLE Z: 0.01
>ANGLE X: -0.07
>ANGLE Y: -0.19
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.18
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.15
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.13
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.12
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.11
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.08
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.06
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.03
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: 0.01
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: 0.03
>ANGLE Z: 0.01
>ANGLE X: -0.09
>ANGLE Y: 0.06
>ANGLE Z: 0.01
>ANGLE X: -0.10
>ANGLE Y: 0.08
>ANGLE Z: 0.01
>ANGLE X: -0.09
>ANGLE Y: 0.10
>ANGLE Z: 0.01
>ANGLE X: -0.08
>ANGLE Y: 0.12
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.13
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: 0.14
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: 0.15
>ANGLE Z: 0.01
>ANGLE X: -0.01
>ANGLE Y: 0.14
>ANGLE Z: 0.01
>ANGLE X: -0.01
>ANGLE Y: 0.12
>ANGLE Z: 0.01
>ANGLE X: 0.00
>ANGLE Y: 0.11
>ANGLE Z: 0.01
>ANGLE X: 0.01
>ANGLE Y: 0.10
>ANGLE Z: 0.02
>ANGLE X: 0.02
>ANGLE Y: 0.08
>ANGLE Z: 0.02
>ANGLE X: 0.03
>ANGLE Y: 0.07
>ANGLE Z: 0.02
>ANGLE X: 0.05
>ANGLE Y: 0.05
>ANGLE Z: 0.02
>ANGLE X: 0.06
>ANGLE Y: 0.03
>ANGLE Z: 0.02
>ANGLE X: 0.06
>ANGLE Y: 0.02
>ANGLE Z: 0.02
>ANGLE X: 0.06
>ANGLE Y: -0.01
>ANGLE Z: 0.02
>ANGLE X: 0.06
>ANGLE Y: -0.03
>ANGLE Z: 0.02
>ANGLE X: 0.06
>ANGLE Y: -0.05
>ANGLE Z: 0.01
>ANGLE X: 0.06
>ANGLE Y: -0.07
>ANGLE Z: 0.02
>ANGLE X: 0.06
>ANGLE Y: -0.10
>ANGLE Z: 0.02
>ANGLE X: 0.07
>ANGLE Y: -0.13
>ANGLE Z: 0.02
>ANGLE X: 0.06
>ANGLE Y: -0.16
>ANGLE Z: 0.01
>ANGLE X: 0.05
>ANGLE Y: -0.19
>ANGLE Z: 0.01
>ANGLE X: 0.04
>ANGLE Y: -0.20
>ANGLE Z: 0.02
>ANGLE X: 0.02
>ANGLE Y: -0.21
>ANGLE Z: 0.02
>ANGLE X: -0.00
>ANGLE Y: -0.20
>ANGLE Z: 0.02
>ANGLE X: -0.01
>ANGLE Y: -0.19
>ANGLE Z: 0.02
>ANGLE X: -0.01
>ANGLE Y: -0.18
>ANGLE Z: 0.02
>ANGLE X: -0.03
>ANGLE Y: -0.16
>ANGLE Z: 0.02
>ANGLE X: -0.03
>ANGLE Y: -0.15
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.12
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.09
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.07
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.04
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.00
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: 0.04
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: 0.08
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: 0.11
>ANGLE Z: 0.02
>ANGLE X: -0.03
>ANGLE Y: 0.13
>ANGLE Z: 0.02
>ANGLE X: -0.04
>ANGLE Y: 0.14
>ANGLE Z: 0.02
>ANGLE X: -0.03
>ANGLE Y: 0.15
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: 0.17
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: 0.17
>ANGLE Z: 0.01
>ANGLE X: -0.01
>ANGLE Y: 0.17
>ANGLE Z: 0.01
>ANGLE X: -0.00
>ANGLE Y: 0.17
>ANGLE Z: 0.01
>ANGLE X: 0.00
>ANGLE Y: 0.16
>ANGLE Z: 0.02
>ANGLE X: 0.01
>ANGLE Y: 0.14
>ANGLE Z: 0.01
>ANGLE X: 0.01
>ANGLE Y: 0.13
>ANGLE Z: 0.01
>ANGLE X: 0.00
>ANGLE Y: 0.10
>ANGLE Z: 0.01
>ANGLE X: -0.00
>ANGLE Y: 0.07
>ANGLE Z: 0.01
>ANGLE X: -0.00
>ANGLE Y: 0.04
>ANGLE Z: 0.01
>ANGLE X: 0.00
>ANGLE Y: 0.03
>ANGLE Z: 0.01
>ANGLE X: 0.01
>ANGLE Y: 0.00
>ANGLE Z: 0.01
>ANGLE X: 0.01
>ANGLE Y: -0.01
>ANGLE Z: 0.01
>ANGLE X: 0.00
>ANGLE Y: -0.03
>ANGLE Z: 0.01
>ANGLE X: 0.02
>ANGLE Y: -0.06
>ANGLE Z: 0.01
>ANGLE X: 0.03
>ANGLE Y: -0.09
>ANGLE Z: 0.01
>ANGLE X: 0.04
>ANGLE Y: -0.12
>ANGLE Z: 0.01
>ANGLE X: 0.05
>ANGLE Y: -0.14
>ANGLE Z: 0.01
>ANGLE X: 0.05
>ANGLE Y: -0.17
>ANGLE Z: 0.01
>ANGLE X: 0.04
>ANGLE Y: -0.18
>ANGLE Z: 0.01
>ANGLE X: 0.02
>ANGLE Y: -0.20
>ANGLE Z: 0.01
>ANGLE X: 0.01
>ANGLE Y: -0.21
>ANGLE Z: 0.01
>ANGLE X: 0.01
>ANGLE Y: -0.19
>ANGLE Z: 0.01
>ANGLE X: 0.01
>ANGLE Y: -0.18
>ANGLE Z: 0.01
>ANGLE X: 0.00
>ANGLE Y: -0.18
>ANGLE Z: 0.01
>ANGLE X: -0.01
>ANGLE Y: -0.18
>ANGLE Z: 0.01
>ANGLE X: -0.01
>ANGLE Y: -0.16
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: -0.15
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: -0.13
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.12
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: -0.11
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: -0.09
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.06
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.03
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: -0.01
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.01
>ANGLE Z: 0.01
>ANGLE X: -0.06
>ANGLE Y: 0.03
>ANGLE Z: 0.01
>ANGLE X: -0.05
>ANGLE Y: 0.05
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: 0.06
>ANGLE Z: 0.01
>ANGLE X: -0.04
>ANGLE Y: 0.05
>ANGLE Z: 0.01
>ANGLE X: -0.03
>ANGLE Y: 0.05
>ANGLE Z: 0.01
>ANGLE X: -0.02
>ANGLE Y: 0.06
>ANGLE Z: 0.01
>ANGLE X: -0.00
>ANGLE Y: 0.05
>ANGLE Z: 0.01
>ANGLE X: 0.01
>ANGLE Y: 0.03
>ANGLE Z: 0.01
>ANGLE X: 0.02
>ANGLE Y: 0.01
>ANGLE Z: 0.01
>ANGLE X: 0.03
>ANGLE Y: -0.01
>ANGLE Z: 0.01
>ANGLE X: 0.04
>ANGLE Y: -0.04
>ANGLE Z: 0.01
>ANGLE X: 0.04
>ANGLE Y: -0.06
>ANGLE Z: 0.01
>ANGLE X: 0.05
>ANGLE Y: -0.09
>ANGLE Z: 0.01
>ANGLE X: 0.07
>ANGLE Y: -0.13
>ANGLE Z: 0.01
>ANGLE X: 0.09
>ANGLE Y: -0.15
>ANGLE Z: 0.01
>ANGLE X: 0.11
>ANGLE Y: -0.18
>ANGLE Z: 0.02
>ANGLE X: 0.12
>ANGLE Y: -0.21
>ANGLE Z: 0.02
>ANGLE X: 0.13
>ANGLE Y: -0.23
>ANGLE Z: 0.02
>ANGLE X: 0.11
>ANGLE Y: -0.25
>ANGLE Z: 0.02
>ANGLE X: 0.11
>ANGLE Y: -0.27
>ANGLE Z: 0.02
>ANGLE X: 0.10
>ANGLE Y: -0.29
>ANGLE Z: 0.01
>ANGLE X: 0.08
>ANGLE Y: -0.29
>ANGLE Z: 0.02
>ANGLE X: 0.07
>ANGLE Y: -0.29
>ANGLE Z: 0.02
>ANGLE X: 0.06
>ANGLE Y: -0.28
>ANGLE Z: 0.02
>ANGLE X: 0.03
>ANGLE Y: -0.27
>ANGLE Z: 0.02
>ANGLE X: 0.02
>ANGLE Y: -0.28
>ANGLE Z: 0.02
>ANGLE X: 0.01
>ANGLE Y: -0.28
>ANGLE Z: 0.02
>ANGLE X: -0.01
>ANGLE Y: -0.26
>ANGLE Z: 0.02
>ANGLE X: -0.01
>ANGLE Y: -0.25
